Image ID,LST_Day_1km
2_2011_04_01,38.33
2_2011_04_02,36.63
2_2011_04_03,44.57
2_2011_04_04,
2_2011_04_05,36.11
2_2011_04_06,45.11
2_2011_04_07,41.87
2_2011_04_08,43.91
2_2011_04_09,
2_2011_04_10,42.01
2_2011_04_11,
2_2011_04_12,46.39
2_2011_04_13,
2_2011_04_14,43.67
2_2011_04_15,48.11
2_2011_04_16,
2_2011_04_17,47.11
2_2011_04_18,
2_2011_04_19,
2_2011_04_20,
2_2011_04_21,44.27
2_2011_04_22,
2_2011_04_23,35.81
2_2011_04_24,45.51
2_2011_04_25,
2_2011_04_26,44.49
2_2011_04_27,
2_2011_04_28,39.65
2_2011_04_29,
2_2011_04_30,
2_2011_05_01,
2_2011_05_02,36.17
2_2011_05_03,47.15
2_2011_05_04,
2_2011_05_05,40.75
2_2011_05_06,37.31
2_2011_05_07,
2_2011_05_08,39.81
2_2011_05_09,35.75
2_2011_05_10,
2_2011_05_11,
